# נספח השימור של תוכנית המתאר הכוללנית פרדס חנה-כרכור, תכנית 353-0138586.
# תומלל מתוך "נספח 2: כרטסת השימור לפי מפתח כתובת", עמודים 266-286 במסמך
# "הוראות נספח שימור" (ד"ר הדס שדר, יולי 2017), כפי שפורסם באתר מנהל התכנון:
# https://apps.land.gov.il/IturTabotData/nispachim/haifa/3008729/12.pdf
#
# המסמך סרוק ואין בו שכבת טקסט, ולכן הטבלה תומללה מהתמונות. המספור בעמודה `num`
# הוא מספר האתר במפת השימור, והספרה שלפני הנקודה היא הנרטיב שאליו האתר משויך
# (ראה GROUPS ב-build_shimur.py). המיקום אינו במסמך: הוא נגזר מהגוש והחלקה
# מול שכבת החלקות הארצית, ולכן הוא מרכז החלקה ולא בהכרח מרכז המבנה.
#
# עמודות: num	name	grade	address	parcels
# parcels: גוש:חלקה,חלקה;גוש:חלקה  (חלקות בלבד, בלי חלקי חלקות)
#
num	name	grade	address	parcels
1.1	מגדל המים הראשון בכרכור, 1927	שימור עם הגבלות מחמירות	ניר, מול בית מס' 20	10074:402
1.2	מגדל המים השני בכרכור, 1928	שימור עם הגבלות מחמירות	הנשיא	10074:159
1.3	מגדל המים בתל שלום	שימור עם הגבלות מחמירות	היוגב, תל שלום	10105:176
1.4	מגדל המים ברחוב הראשונים	שימור עם הגבלות מחמירות	הראשונים 4	10103:31
1.5	בריכת מים ברחוב המדרשיה	שימור עם הגבלות מחמירות	המדרשיה	10103:100
1.6	בריכת מים מול בי"ס אלישבע	שימור עם הגבלות מחמירות	מלאכה	10102:103
1.7	בריכת מים ברחוב זית	שימור עם הגבלות מחמירות	הזית	10104:345
1.8	מגדל מים בדרך תדהר	שימור עם הגבלות מחמירות	תדהר	10099:10
1.9	מגדל המים המרובע הנמוך על ארבע רגליים	שימור עם הגבלות מחמירות	ליד בי"ס אורט טכנולוגי	10099:12
1.10	בריכת מים מגד	שימור עם הגבלות מחמירות	מגד	10109:114
1.11	באר ראשונה בחצר אקסנפלד	שימור עם הגבלות מחמירות	רבי עקיבא	10103:12
1.12	הבאר השנייה	שימור עם הגבלות מחמירות	חרובים, מול חרובים 20	10102:229
1.13	באר שלישית בחצר שכטר ברוך	שימור עם הגבלות מחמירות	דרך השדה	10102:206
1.14	באר רביעית	שימור עם הגבלות מחמירות	גבול מתחם בית העיוורים, אורט טכנולוגי דתי לשעבר	10099:34
1.15	באר תר"ץ	שימור עם הגבלות מחמירות	מצפון לפרדס חנה, ליד אזור התעשייה	10096:48,49
1.16	באר מחנה הפרדות	שימור עם הגבלות מחמירות	מחנה הפרדות	10097:12
1.17	באר פרדסי מגד	שימור עם הגבלות מחמירות	פרדסי מגד, ליד בית אריזה	10109:60
2.1	בית אריזה 4	שימור עם הגבלות מחמירות	דרך הנדיב	10097:17
2.2	בית אריזה 13	שימור עם הגבלות מחמירות	דרך הנדיב	10097:4
2.3	בית אריזה משולב בבאר בפרדסי מגד	שימור עם הגבלות מחמירות	פרדסי מגד	10108:62
2.4	בית אריזה גג אדום	שימור עם הגבלות מחמירות	מדרום לכביש 65	10113:2
2.5	מכלול מפעל נחלי תעלת מנשה	שימור עם הגבלות מחמירות	מצפון לשטח הבנוי, ממערב לדרך הנדיב	10092:8;10093:1,2,3;10094:20,21,22,23,24,26,27,28,29,31,32,33,34,39,41,44;10097:6,7,8
3.1	מכלול מרכז המושבה פרדס חנה	שימור	מרכז פרדס חנה: בין דרך הים מצפון, הדרים והבוטנים ממערב, ההגנה והיוגב ממזרח, דרך פיק"א מדרום	10102:20,23,24,32,33,34,40,146,349,350,400,401,254,255,256,257,258,259,260,261,262,470,301,302,303,304,305,306,307,308,309,310,311,170,171,109,110,282,283,284,285,286,287,39,314,122,359,360,315,77,69,65,66,408,409,411,341,342,221,222,223,225,226,217,218,219,319,320,182,183,288,289,290
3.2.1	האלון הבודד במזרח כרכור	שימור עם הגבלות מחמירות		10076:35
3.2.2	האלון בבית הספר אלונים	שימור עם הגבלות מחמירות	דרך הבנים	10102:77
3.2.3	האקליפטוס הבודד	שימור עם הגבלות מחמירות	דרך יזרעאל פינת תבור, הכניסה לשכונת רסקו	10101:99
3.2.4	חורשת האורנים	שימור עם הגבלות מחמירות	קק"ל, בין מעפילים וחבצלת	10107:196
